Sentiment;Review
positive;fasilitas penyewaan lapangan futsal ini bagus untuk mengisi waktu luang untuk berohlaga.
positive;Cukup baik tapi lampu nya agak redup jika main futsal malam
positive;Tempat keren ??????
positive;tempatnya bersih, cuman pencahayaan lapangannya musti di tambah
positive;Lapangan futsalnya lumayan.. hanya saja kurang sejuk
positive;Tempat untuk bermain futsal yg sangat bagus dan tempatnya strategis
positive;Tempatnya sejuk dan lapanganya lumayan
positive;Lapangan bagus, tapi butuh blower agar sirkulasi udara baik
negative;Waktu kami d sana, d pinggir lapangan banyak kotoran kucing
negative;kalau hujan, banjir lapangan
positive;Tepat
positive;Nyaman dan aman sebagai tempat bermain
positive;Tempat org melatih kemampuan sesama dalam bermain futsal
positive;Keren tempatnya, ada cafe sekaligus tempat main futsalnya
positive;Tempat andalan main futsalnya anak2 mahasiswa
positive;Tempat futsalnya bocengers, salah satu pemain andalan dari timnas indomaret bukan timnas indonesia
positive;Tempat recommended untuk bermain futsal bersama
positive;Pilihan baik bagi anda para pencinta olahraga futsal di kota makassar
negative;Lapangannya agak sempit, fasilitasnya masih cukup baik.
positive;Terdiri dari dua lapangan rumput dan kursi penonton
positive;B aja
positive;Pengalaman yang bagus
negative;Lapangan agak sempit dan sdh tipis karpet nya
positive;kualitas lapangan interlock yg lumayan bagus
positive;Jadi lebih bagus setelah lapangannya di upgrade
positive;bisa cuci motor dan dilengkapi cafe dilantai 2
positive;Lumayan bagus dan lebih terjangkau
positive;Baguski tawwa lapangannya
negative;Nda banyak giliran ku main :(
negative;tdk ada nomor whatsapp
positive;Tempatnya bagus
positive;Tempatnya cukup bersih dan nyaman
positive;Tempat asik untuk main futsal
positive;Tempatnya bagus
positive;Tiap sabtu tempat futsalnya smansa 85
positive;Bagus
positive;Mantapnlapangannya
positive;Lapangannya okey biayanya terjangkau
positive;Tempatnya nyaman untuk main futsal
positive;Hargannya 100rb/jam
positive;Lapangan futsal dengan kondisi yang cukup baik.
positive;Tempatnya bagus, bersih, dan nyaman
positive;Tempat mengeluarkan keringat yg pas
positive;Lapangannya bagus
positive;Tempat yang naik untuk bermain futsal di Kota Makassar
positive;Tempat parkirannya panas
positive;Lapangannya bagus
positive;Saya suka dgn tempat ini
positive;Lapanganya bagus
positive;Tempat futsal favorit ane nih
positive;Lapangan bagus untuk main futsal
negative;Kurang memuaskan
positive;Tempat bermain futsal yang bagus
positive;Keren tmpat futsalnya tawwa
positive;fasilitasnya oke dan nyaman
positive;Keren
negative;Lapangannya kecil
negative;Cuman klu hujan basah
positive;Saya suka
positive;Lapangan lumayan nyaman
positive;Tempat lumayan bagus
positive;BAGUS SIH TP LAPANGANNYA SEMPIT
positive;Mantap t4 nya
positive;Sangat indah pemandangan
positive;Ramai kali
positive;Dua hari lagi
positive;Enak lapanganya
positive;Sangat bagus
positive;Mantap lah..
positive;Tdk panas....
positive;Yah agak lumayan
positive;Recomended untuk main futsal ..
positive;Mantap
positive;Cukup bagus
positive;ya bagus
positive;Lapangan nya dari matras
positive;Tempat futsalx MTsN 01 Makassar
positive;Alhamdulillah
positive;Pernah main disini
positive;mantap
positive;Luar biasa
positive;Mantul
positive;Mantap
positive;Bagus
positive;Bagus
positive;Mantap
positive;Mantaplah
positive;Mantap
positive;Baik
positive;Mantap
positive;Lapangan memadai
positive;mantapz
positive;Mantapp
positive;Mantaplah
positive;Lumayan
negative;Berak
positive;Lumayan
positive;Mantap
positive;Kerenn
positive;Mantap
positive;Keren
positive;Tempat olahraga
positive;Rekomendasi
negative;salah satu lapangannya sudah kurang bagus digunakan krna fnylnya sudah mulai terangkat. semoga bisa diperbaiki secepatnya yah
negative;It only has two courts and no synthetic grass, and it doesn't sell anything like mineral water so you better bring or buy it outside, the parking lot is good enough for motorcycle but not for car, u need to park it outside near the road, don't afraid of ur vehicle safety coz there's someone guard and watch it for you, and it cost 2k rupiah for motorcycle
positive;Kerren Bersih Aman dan Sejuk
positive;Good place to play futsal and table tennis. They have a cafe in up stairs so after you sports you can Break with a meals, juice, coffee and etc. That place is easy to get .
