Sentiment;Review
positive;Lapangan futsalnya lumayan.. hanya saja kurang sejuk
positive;Tempat untuk bermain futsal yg sangat bagus dan tempatnya strategis
positive;Tempatnya sejuk dan lapanganya lumayan
positive;Lapangan bagus, tapi butuh blower agar sirkulasi udara baik
negative;Waktu kami d sana, d pinggir lapangan banyak kotoran kucing
negative;kalau hujan, banjir lapangan
positive;Tepat
positive;Nyaman dan aman sebagai tempat bermain
positive;Tempat org melatih kemampuan sesama dalam bermain futsal
positive;Keren tempatnya, ada cafe sekaligus tempat main futsalnya
positive;Tempat andalan main futsalnya anak2 mahasiswa
positive;Tempat futsalnya bocengers, salah satu pemain andalan dari timnas indomaret bukan timnas indonesia
positive;Tempat recommended untuk bermain futsal bersama
positive;Pilihan baik bagi anda para pencinta olahraga futsal di kota makassar
negative;Lapangannya agak sempit, fasilitasnya masih cukup baik.
positive;Terdiri dari dua lapangan rumput dan kursi penonton
positive;B aja
positive;Pengalaman yang bagus
negative;Lapangan agak sempit dan sdh tipis karpet nya
positive;kualitas lapangan interlock yg lumayan bagus
positive;Jadi lebih bagus setelah lapangannya di upgrade
positive;bisa cuci motor dan dilengkapi cafe dilantai 2
positive;Lumayan bagus dan lebih terjangkau
positive;Baguski tawwa lapangannya
negative;Nda banyak giliran ku main :(
negative;tdk ada nomor whatsapp
positive;Tempatnya bagus
positive;Tempatnya cukup bersih dan nyaman
positive;Tempat asik untuk main futsal
positive;Tempatnya bagus
positive;Tiap sabtu tempat futsalnya smansa 85
positive;Bagus
positive;Mantapnlapangannya
positive;Lapangannya okey biayanya terjangkau
positive;Tempatnya nyaman untuk main futsal
positive;Hargannya 100rb/jam
positive;Lapangan futsal dengan kondisi yang cukup baik.
positive;Tempatnya bagus, bersih, dan nyaman
positive;Tempat mengeluarkan keringat yg pas
positive;Lapangannya bagus
positive;Tempat yang naik untuk bermain futsal di Kota Makassar
positive;"Lumayan mainnya
@muh.zaidil"
positive;Tempat parkirannya panas
positive;Lapangannya bagus
positive;Saya suka dgn tempat ini
positive;Lapanganya bagus
positive;Tempat futsal favorit ane nih
positive;Lapangan bagus untuk main futsal
negative;Kurang memuaskan
positive;Tempat bermain futsal yang bagus
positive;Keren tmpat futsalnya tawwa
positive;fasilitasnya oke dan nyaman
positive;Keren
negative;Lapangannya kecil
negative;Cuman klu hujan basah
positive;Saya suka
positive;Lapangan lumayan nyaman
positive;Tempat lumayan bagus
positive;BAGUS SIH TP LAPANGANNYA SEMPIT
positive;Mantap t4 nya
positive;Sangat indah pemandangan
positive;??
positive;Ramai kali
positive;Dua hari lagi
positive;Enak lapanganya
positive;Sangat bagus
positive;Mantap lah..
positive;Tdk panas....
positive;Yah agak lumayan
positive;Recomended untuk main futsal ..
positive;Mantap
positive;Cukup bagus
positive;ya bagus
positive;Lapangan nya dari matras
positive;Tempat futsalx MTsN 01 Makassar
positive;Alhamdulillah
positive;Pernah main disini
positive;mantap
positive;Luar biasa
positive;Mantul
positive;Mantap
positive;Bagus
positive;Bagus
positive;Mantap
positive;Mantaplah
positive;Mantap
positive;Baik
positive;Mantap
positive;Lapangan memadai
positive;mantapz
positive;Mantapp
positive;Mantaplah
positive;Lumayan
negative;Berak
positive;Lumayan
positive;Mantap
positive;Kerenn
positive;Mantap
positive;Keren
positive;Tempat olahraga
positive;Rekomendasi
negative;salah satu lapangannya sudah kurang bagus digunakan krna fnylnya sudah mulai terangkat. semoga bisa diperbaiki secepatnya yah
negative;"(Diterjemahkan oleh Google) Hanya ada dua lapangan dan tidak ada rumput sintetis, dan tidak menjual apa pun seperti air mineral jadi lebih baik Anda membawa atau membelinya di luar, tempat parkir cukup baik untuk sepeda motor tetapi tidak untuk mobil, Anda perlu memarkirnya di luar dekat jalan, jangan takut dengan keselamatan kendaraanmu karena ada seseorang yang menjaga dan mengawasimu, dan biayanya 2k rupiah untuk sepeda motor

(Asli)
It only has two courts and no synthetic grass, and it doesn't sell anything like mineral water so you better bring or buy it outside, the parking lot is good enough for motorcycle but not for car, u need to park it outside near the road, don't afraid of ur vehicle safety coz there's someone guard and watch it for you, and it cost 2k rupiah for motorcycle"
positive;"(Diterjemahkan oleh Google) Kerren Bersih Aman dan Keren????

(Asli)
Kerren Bersih Aman dan Sejuk????"
positive;"(Diterjemahkan oleh Google) Tempat yang bagus untuk bermain futsal dan tenis meja. Mereka memiliki kafe di lantai atas sehingga setelah Anda berolahraga Anda dapat istirahat dengan makan, jus, kopi, dan lain-lain. Tempat itu mudah didapat.

(Asli)
Good place to play futsal and table tennis. They have a cafe in up stairs so after you sports you can Break with a meals, juice, coffee and etc. That place is easy to get ."
positive;"(Diterjemahkan oleh Google) Tempat yang sangat bagus untuk bermain futsal. Lapangannya oke dan lampunya bagus. Jaring di sekitar lapangan agak terlalu dekat tapi selain itu bagus!

(Asli)
Very nice place to play futsal. The field is okay and the lights are good. The nettings around the field are a bit too close but apart from that it's great!"
positive;"(Diterjemahkan oleh Google) Seperti tempat ini. Anda bisa bermain di dalam ruangan tetapi terasa seperti di luar ruangan karena udaranya sangat segar

(Asli)
Like this place. You can play indoor but feels like outdoor because the air so fresh"
positive;"(Diterjemahkan oleh Google) Senangnya bisa berkumpul dengan teman-teman

(Asli)
Mantap buat ngumpul sama kawan kawan nih"
positive;"(Diterjemahkan oleh Google) Buka tempat sampai dingin

(Asli)
Tempat terbuka sehingga sejuk"
positive;"Good place for futsal,  low budget

(Diterjemahkan oleh Google)
Tempat yang bagus untuk futsal, anggaran rendah"
positive;"Nice place

(Diterjemahkan oleh Google)
Tempat yang bagus"
positive;"Recommended

(Diterjemahkan oleh Google)
Direkomendasikan"
positive;"Yes, good

(Diterjemahkan oleh Google)
Ya baik"
positive;"recently my exercise place with colleague

(Diterjemahkan oleh Google)
baru-baru ini tempat latihan saya dengan rekan kerja"
positive;"Good place

(Diterjemahkan oleh Google)
Tempat yang bagus"
positive;"Sport futsal

(Diterjemahkan oleh Google)
olahraga futsal"
positive;"I like it

(Diterjemahkan oleh Google)
saya suka itu"
positive;Futsalki
positive;"Good

(Diterjemahkan oleh Google)
Bagus"
positive;"Ok

(Diterjemahkan oleh Google)
Oke"
positive;"Nice

(Diterjemahkan oleh Google)
Bagus"
positive;"Good

(Diterjemahkan oleh Google)
Bagus"
positive;"(Diterjemahkan oleh Google) Bagus

(Asli)
Good"
positive;"(Diterjemahkan oleh Google) Bagus

(Asli)
Nice"
positive;"(Diterjemahkan oleh Google) Bagus

(Asli)
Good"
positive;"(Diterjemahkan oleh Google) Bagus

(Asli)
Nice"
negative;"(Diterjemahkan oleh Google) PANAS

(Asli)
HOT"
